date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:12	146/146	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jan%202023%2012:22:33%20GMT	https://cometrbx.xyz/%22assets/img/CometPhoto1.png%22	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/_assets/img/CometPhoto1.png_	(from https://cometrbx.xyz/)
15:19:12	1888548/1888548	---M--	200	added ('OK')	image/png	etag:%2263af20da-1cd124%22	https://cometrbx.xyz/assets/img/CometPhoto1.png	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/assets/img/CometPhoto1.png	(from https://cometrbx.xyz/)
15:19:12	146/146	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jan%202023%2012:22:34%20GMT	https://cometrbx.xyz/%22assets/img/CometPhoto2.png%22	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/_assets/img/CometPhoto2.png_	(from https://cometrbx.xyz/)
15:19:12	2048089/2048089	---M--	200	added ('OK')	image/png	etag:%2263af20de-1f4059%22	https://cometrbx.xyz/assets/img/CometPhoto2.png	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/assets/img/CometPhoto2.png	(from https://cometrbx.xyz/)
15:19:13	146/146	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jan%202023%2012:22:34%20GMT	https://cometrbx.xyz/%22assets/img/CometPhoto3.png%22	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/_assets/img/CometPhoto3.png_	(from https://cometrbx.xyz/)
15:19:13	1316701/1316701	---M--	200	added ('OK')	image/png	etag:%2263af20e0-14175d%22	https://cometrbx.xyz/assets/img/CometPhoto3.png	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/assets/img/CometPhoto3.png	(from https://cometrbx.xyz/)
15:19:13	146/146	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jan%202023%2012:22:35%20GMT	https://cometrbx.xyz/%22assets/img/CometPhoto4.png%22	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/_assets/img/CometPhoto4.png_	(from https://cometrbx.xyz/)
15:19:13	1455353/1455353	---M--	200	added ('OK')	image/png	etag:%2263af20e2-1634f9%22	https://cometrbx.xyz/assets/img/CometPhoto4.png	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/assets/img/CometPhoto4.png	(from https://cometrbx.xyz/)
15:19:13	12086/12086	---M--	200	added ('OK')	image/png	etag:%2263af20e2-2f36%22	https://cometrbx.xyz/assets/img/CometProgress1.png	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/assets/img/CometProgress1.png	(from https://cometrbx.xyz/)
15:19:14	5367/5367	---M--	200	added ('OK')	image/png	etag:%2263af20e2-14f7%22	https://cometrbx.xyz/assets/img/CometProgress2.png	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/assets/img/CometProgress2.png	(from https://cometrbx.xyz/)
15:19:14	146/146	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jan%202023%2012:22:35%20GMT	https://cometrbx.xyz/%22assets/img/CometCPUModel.png%22	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/_assets/img/CometCPUModel.png_	(from https://cometrbx.xyz/)
15:19:14	146/146	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jan%202023%2012:22:36%20GMT	https://cometrbx.xyz/%22assets/img/Comet3GameIntegration.png%22	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/_assets/img/Comet3GameIntegration.png_	(from https://cometrbx.xyz/)
15:19:14	80217/80217	---M--	200	added ('OK')	application/javascript	etag:%2263af20f2-13959%22	https://cometrbx.xyz/assets/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/assets/bootstrap/js/bootstrap.min.js	(from https://cometrbx.xyz/)
15:19:15	82/82	---M--	200	added ('OK')	application/javascript	etag:%2263af20f0-52%22	https://cometrbx.xyz/assets/js/bs-init.js	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/assets/js/bs-init.js	(from https://cometrbx.xyz/)
15:19:15	14690/14690	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03d5d-3962%22	https://cdnjs.cloudflare.com/ajax/libs/aos/2.3.4/aos.js	C:/My%20Web%20Sites/Comet%20mirror/cdnjs.cloudflare.com/ajax/libs/aos/2.3.4/aos.js	(from https://cometrbx.xyz/)
15:19:15	9211/9211	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03d72-23fb%22	https://cdnjs.cloudflare.com/ajax/libs/baguettebox.js/1.10.0/baguetteBox.min.js	C:/My%20Web%20Sites/Comet%20mirror/cdnjs.cloudflare.com/ajax/libs/baguettebox.js/1.10.0/baguetteBox.min.js	(from https://cometrbx.xyz/)
15:19:16	111/111	---M--	200	added ('OK')	application/javascript	etag:%2263af20ee-6f%22	https://cometrbx.xyz/assets/js/3D_CSS_PROGRESS_BAR_BY_REDSTAPLER.js	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/assets/js/3D_CSS_PROGRESS_BAR_BY_REDSTAPLER.js	(from https://cometrbx.xyz/)
15:19:16	1684/1684	---M--	200	added ('OK')	application/javascript	etag:%2263af20f0-694%22	https://cometrbx.xyz/assets/js/Animated-numbers-section.js	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/assets/js/Animated-numbers-section.js	(from https://cometrbx.xyz/)
15:19:16	143/143	---M--	200	added ('OK')	application/javascript	etag:%2263af20f0-8f%22	https://cometrbx.xyz/assets/js/Lightbox-Gallery.js	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/assets/js/Lightbox-Gallery.js	(from https://cometrbx.xyz/)
15:19:16	23752/23752	---M--	200	added ('OK')	font/woff2	etag:%2263af20bc-5cc8%22	https://cometrbx.xyz/assets/fonts/AtkinsonHyperlegible-Regular.woff2	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/assets/fonts/AtkinsonHyperlegible-Regular.woff2	(from https://cometrbx.xyz/assets/css/Atkinson%20Hyperlegible.css)
15:19:17	30228/30228	---M--	200	added ('OK')	font/woff	etag:%2263af20ba-7614%22	https://cometrbx.xyz/assets/fonts/AtkinsonHyperlegible-Regular.woff	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/assets/fonts/AtkinsonHyperlegible-Regular.woff	(from https://cometrbx.xyz/assets/css/Atkinson%20Hyperlegible.css)
15:19:17	25392/25392	---M--	200	added ('OK')	font/woff2	etag:%2263af20ba-6330%22	https://cometrbx.xyz/assets/fonts/AtkinsonHyperlegible-Italic.woff2	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/assets/fonts/AtkinsonHyperlegible-Italic.woff2	(from https://cometrbx.xyz/assets/css/Atkinson%20Hyperlegible.css)
15:19:17	32324/32324	---M--	200	added ('OK')	font/woff	etag:%2263af20ba-7e44%22	https://cometrbx.xyz/assets/fonts/AtkinsonHyperlegible-Italic.woff	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/assets/fonts/AtkinsonHyperlegible-Italic.woff	(from https://cometrbx.xyz/assets/css/Atkinson%20Hyperlegible.css)
15:19:18	24200/24200	---M--	200	added ('OK')	font/woff2	etag:%2263af20b8-5e88%22	https://cometrbx.xyz/assets/fonts/AtkinsonHyperlegible-Bold.woff2	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/assets/fonts/AtkinsonHyperlegible-Bold.woff2	(from https://cometrbx.xyz/assets/css/Atkinson%20Hyperlegible.css)
15:19:18	30916/30916	---M--	200	added ('OK')	font/woff	etag:%2263af20b6-78c4%22	https://cometrbx.xyz/assets/fonts/AtkinsonHyperlegible-Bold.woff	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/assets/fonts/AtkinsonHyperlegible-Bold.woff	(from https://cometrbx.xyz/assets/css/Atkinson%20Hyperlegible.css)
15:19:18	25804/25804	---M--	200	added ('OK')	font/woff2	etag:%2263af20b8-64cc%22	https://cometrbx.xyz/assets/fonts/AtkinsonHyperlegible-BoldItalic.woff2	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/assets/fonts/AtkinsonHyperlegible-BoldItalic.woff2	(from https://cometrbx.xyz/assets/css/Atkinson%20Hyperlegible.css)
15:19:19	32672/32672	---M--	200	added ('OK')	font/woff	etag:%2263af20b8-7fa0%22	https://cometrbx.xyz/assets/fonts/AtkinsonHyperlegible-BoldItalic.woff	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/assets/fonts/AtkinsonHyperlegible-BoldItalic.woff	(from https://cometrbx.xyz/assets/css/Atkinson%20Hyperlegible.css)
15:19:19	15832/15832	---M--	200	added ('OK')	image/jpeg	etag:%2263af20ec-3dd8%22	https://cometrbx.xyz/assets/img/screen-content-phone.jpg	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/assets/img/screen-content-phone.jpg	(from https://cometrbx.xyz/assets/css/Header-Blue.css)
15:19:19	146/146	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jan%202023%2012:22:41%20GMT	https://cometrbx.xyz/%22assets/img/SpotlightDownload.png%22	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/_assets/img/SpotlightDownload.png_	(from https://cometrbx.xyz/download.html)
15:19:20	25273/25273	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Jan%202023%2012:22:41%20GMT	https://cometrbx.xyz/home.php	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/home.html	(from https://cometrbx.xyz/download.html)
15:19:20	146/146	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jan%202023%2012:22:41%20GMT	https://cometrbx.xyz/%22assets/img/CometFrontPageImage.png%22	C:/My%20Web%20Sites/Comet%20mirror/cometrbx.xyz/_assets/img/CometFrontPageImage.png_	(from https://cometrbx.xyz/about.html)
